ISO3,Agri_job#Per#Population,Agri_land_organic#Per#Population,Air_freight#Per#Population,Alcohol_use#Per#Population,Biocapacity_balance#Per#Population,CO2#Per#Population,CO2_agri#Per#Land,CO2_industry#Per#Land,CO2_manufacturing#Per#Population,CO2_waste#Per#Population,Cereals_revenue#Per#Population,Debt_bank#Percent#GDP,Drugs#Per#Population,E_commerce_revenue#Per#GDP,Electricity_renewable#Percent#Electricity_use,Electricity_use#Per#Population,Energy_dependency#Per#Population,Energy_renewable#Percent#Energy_use,Export_G&S_PPP#Per#Population,Farm_animal_product#Per#Population,Fine_particules_10#Per#Population,Import_good_PPP#Per#Population,Income#Per#Household,Jobless#Per#Population,Mining_number#Per#Population,Obesity#Percent#Child,Poverty_risk#Per#GDP,River_freight#Per#GDP,Road_traffic#Per#Population,Tenant#Percent#House,Transport#Per#GDP,Value_added_PPP#Per#Population
AUT,6.0,9.0,7.0,7.0,3.0,7.0,7.0,10.0,10.0,2.0,7.0,5.0,3.0,4.0,10.0,9.0,9.0,9.0,7.0,8.0,3.0,7.0,9.0,5.0,3.0,2.0,3.0,6.0,9.0,10.0,9.0,9.0
BEL,1.0,2.0,10.0,6.0,1.0,9.0,10.0,10.0,10.0,10.0,2.0,7.0,10.0,10.0,4.0,9.0,10.0,2.0,9.0,5.0,2.0,10.0,8.0,4.0,2.0,1.0,3.0,8.0,7.0,7.0,7.0,8.0
BGR,7.0,4.0,2.0,2.0,9.0,5.0,2.0,4.0,4.0,5.0,8.0,2.0,4.0,2.0,5.0,3.0,2.0,6.0,2.0,2.0,9.0,3.0,2.0,4.0,5.0,9.0,10.0,10.0,2.0,3.0,2.0,2.0
CYP,9.0,2.0,8.0,2.0,2.0,8.0,1.0,8.0,7.0,,2.0,10.0,9.0,2.0,2.0,6.0,8.0,3.0,8.0,9.0,2.0,4.0,6.0,9.0,7.0,7.0,5.0,,10.0,8.0,9.0,6.0
CZE,2.0,9.0,3.0,5.0,3.0,10.0,9.0,9.0,7.0,8.0,6.0,3.0,2.0,10.0,2.0,6.0,3.0,4.0,7.0,3.0,6.0,8.0,3.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,6.0
DEU,2.0,3.0,9.0,8.0,2.0,9.0,10.0,8.0,8.0,,3.0,8.0,7.0,4.0,8.0,7.0,8.0,5.0,5.0,6.0,2.0,6.0,7.0,2.0,2.0,5.0,4.0,7.0,,10.0,7.0,9.0
DNK,3.0,7.0,9.0,10.0,5.0,6.0,9.0,3.0,2.0,7.0,10.0,9.0,5.0,9.0,10.0,6.0,5.0,9.0,9.0,10.0,4.0,6.0,10.0,5.0,4.0,8.0,2.0,,,10.0,4.0,9.0
ESP,6.0,8.0,5.0,2.0,5.0,4.0,5.0,4.0,6.0,4.0,6.0,6.0,4.0,5.0,7.0,5.0,6.0,6.0,2.0,3.0,5.0,2.0,6.0,10.0,4.0,9.0,7.0,,4.0,6.0,7.0,5.0
EST,4.0,10.0,4.0,10.0,10.0,9.0,2.0,1.0,2.0,3.0,9.0,4.0,9.0,8.0,4.0,7.0,1.0,9.0,6.0,8.0,9.0,7.0,4.0,7.0,10.0,6.0,7.0,,7.0,4.0,6.0,4.0
FIN,4.0,8.0,7.0,9.0,10.0,4.0,4.0,2.0,8.0,,5.0,6.0,8.0,3.0,7.0,10.0,9.0,10.0,4.0,9.0,6.0,4.0,9.0,9.0,10.0,2.0,2.0,4.0,8.0,7.0,10.0,7.0
FRA,3.0,6.0,9.0,7.0,6.0,3.0,8.0,7.0,5.0,10.0,8.0,8.0,1.0,6.0,5.0,9.0,3.0,4.0,3.0,7.0,4.0,2.0,9.0,7.0,2.0,2.0,4.0,4.0,8.0,9.0,9.0,7.0
GRC,10.0,7.0,3.0,1.0,4.0,6.0,2.0,6.0,4.0,2.0,4.0,4.0,8.0,1.0,6.0,4.0,7.0,6.0,1.0,6.0,7.0,1.0,4.0,10.0,7.0,10.0,10.0,,,6.0,8.0,2.0
HRV,7.0,5.0,1.0,7.0,8.0,2.0,5.0,2.0,3.0,2.0,9.0,4.0,10.0,3.0,9.0,2.0,2.0,8.0,2.0,2.0,10.0,3.0,2.0,6.0,6.0,6.0,9.0,9.0,5.0,2.0,5.0,2.0
HUN,8.0,4.0,4.0,6.0,7.0,4.0,7.0,7.0,2.0,7.0,9.0,7.0,5.0,9.0,2.0,2.0,6.0,3.0,5.0,2.0,8.0,7.0,2.0,2.0,3.0,6.0,9.0,7.0,3.0,2.0,2.0,2.0
IRL,6.0,4.0,8.0,3.0,6.0,8.0,10.0,3.0,6.0,8.0,4.0,9.0,7.0,10.0,7.0,7.0,7.0,2.0,10.0,10.0,7.0,9.0,10.0,4.0,9.0,7.0,2.0,,9.0,7.0,2.0,10.0
ITA,5.0,6.0,6.0,2.0,2.0,5.0,6.0,6.0,3.0,5.0,3.0,5.0,6.0,2.0,6.0,5.0,7.0,5.0,2.0,4.0,2.0,2.0,7.0,8.0,2.0,10.0,6.0,2.0,2.0,5.0,6.0,6.0
LTU,9.0,10.0,4.0,9.0,8.0,2.0,3.0,4.0,9.0,4.0,10.0,2.0,2.0,5.0,3.0,2.0,9.0,7.0,7.0,7.0,5.0,8.0,2.0,9.0,6.0,2.0,8.0,1.0,2.0,2.0,3.0,4.0
LUX,2.0,2.0,10.0,5.0,7.0,10.0,9.0,10.0,9.0,,2.0,10.0,10.0,9.0,2.0,10.0,10.0,1.0,10.0,9.0,3.0,10.0,10.0,6.0,2.0,7.0,2.0,5.0,,9.0,2.0,10.0
LVA,9.0,10.0,6.0,10.0,9.0,2.0,4.0,2.0,2.0,2.0,10.0,2.0,7.0,2.0,9.0,2.0,2.0,10.0,4.0,7.0,10.0,5.0,2.0,9.0,10.0,3.0,9.0,,4.0,4.0,8.0,2.0
MLT,5.0,1.0,7.0,2.0,2.0,2.0,,2.0,1.0,6.0,,10.0,3.0,4.0,1.0,4.0,4.0,2.0,10.0,2.0,2.0,6.0,6.0,2.0,9.0,10.0,6.0,,,3.0,5.0,7.0
NLD,2.0,2.0,10.0,4.0,2.0,10.0,7.0,9.0,10.0,,2.0,9.0,9.0,8.0,3.0,8.0,10.0,2.0,9.0,10.0,1.0,10.0,7.0,2.0,2.0,2.0,2.0,9.0,6.0,8.0,4.0,10.0
POL,8.0,2.0,2.0,9.0,6.0,7.0,8.0,7.0,7.0,10.0,5.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,4.0,5.0,7.0,4.0,3.0,2.0,8.0,3.0,8.0,2.0,5.0,2.0,2.0,3.0
PRT,7.0,6.0,5.0,3.0,4.0,3.0,3.0,6.0,6.0,6.0,2.0,6.0,4.0,7.0,9.0,3.0,4.0,8.0,3.0,2.0,9.0,2.0,5.0,7.0,9.0,8.0,7.0,,,5.0,10.0,4.0
ROU,10.0,3.0,2.0,4.0,9.0,2.0,3.0,5.0,2.0,3.0,7.0,1.0,2.0,2.0,8.0,1.0,2.0,7.0,2.0,4.0,10.0,2.0,1.0,3.0,7.0,4.0,10.0,10.0,2.0,1.0,1.0,3.0
SVK,4.0,7.0,2.0,6.0,7.0,6.0,6.0,9.0,9.0,2.0,7.0,3.0,2.0,6.0,4.0,4.0,6.0,4.0,6.0,2.0,6.0,9.0,4.0,6.0,6.0,4.0,6.0,6.0,,2.0,6.0,2.0
SVN,10.0,5.0,2.0,8.0,4.0,7.0,5.0,5.0,5.0,9.0,3.0,2.0,6.0,7.0,6.0,8.0,4.0,7.0,8.0,4.0,8.0,9.0,5.0,4.0,5.0,9.0,5.0,,10.0,6.0,10.0,5.0
SWE,2.0,9.0,6.0,4.0,10.0,1.0,2.0,2.0,4.0,9.0,5.0,7.0,6.0,6.0,10.0,10.0,5.0,10.0,5.0,6.0,4.0,5.0,8.0,10.0,8.0,5.0,2.0,3.0,6.0,9.0,4.0,8.0
